smiles,heptox
CC(N)C12CC3CC(CC(C3)C1)C2,0.0
CCCCCOc1ccc(cc1)c2onc(c2)c3ccc(cc3)C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(NC(=O)C(NC(=O)C6CC(O)CN6C(=O)C(NC4=O)C(C)O)C(O)C(O)c7ccc(O)c(OS(=O)(=O)O)c7)C(O)CC(=O)N,1.0
CCCC(=O)OCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C,0.0
CC(=O)Nc1ccc(O)cc1,1.0
Cc1ncc(CO)c(CO)c1O,0.0
CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,0.0
Cc1cc2OCOc2cc1CC(=O)c3sccc3S(=O)(=O)Nc4onc(C)c4Cl,1.0
CCCCCCCC\C=C\CCCCCCCC(=O)O,0.0
CN1C(=O)N(C)c2nc(Br)[nH]c2C1=O,0.0
CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(NC(=O)C(CC(=O)N)NC(=O)C(NC1=O)C(C)O)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N,0.0
C[N+]1(C)CCCC(C1)OC(=O)C(O)(c2ccccc2)c3ccccc3,0.0
CC(C)c1nnc(C)n1C2C[C@@H]3CC[C@H](C2)N3CC[C@H](NC(=O)C4CCC(F)(F)CC4)c5ccccc5,1.0
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34,0.0
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,0.0
[O-]C(=O)CN(CCN(CC(=O)[O-])CC(=O)[O-])C[C@H](COP(=O)([O-])OC1CCC(CC1)(c2ccccc2)c3ccccc3)N(CC(=O)[O-])CC(=O)[O-],0.0
CCN1CC(CCN2CCOCC2)C(C1=O)(c3ccccc3)c4ccccc4,0.0
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3,1.0
CCC(=O)NCC[C@@H]1CCc2ccc3OCCc3c12,0.0
CN(C)N\N=C\1/N=CN=C1C(=O)N,1.0
CN1CCCC(CN2c3ccccc3Sc4ccccc24)C1,1.0
NCCCCCC(=O)O,0.0
Oc1ccc(C(=O)c2cc(O)c(O)c(O)c2)c(O)c1O,1.0
Clc1ccc2nsnc2c1NC3=NCCN3,1.0
CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O,0.0
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2C(=CC=C3C[C@@H](O)C[C@H](O)C3=C)CCC[C@]12C,0.0
CN[C@@H](C)Cc1ccccc1,0.0
CNC1(C)C2CCC(C2)C1(C)C,0.0
CC(=O)Oc1ccc(cc1)C(=C2CCCCC2)c3ccc(OC(=O)C)cc3,1.0
OC(=O)CN(CCN(CCN(CC(=O)O)C(COCc1ccccc1)C(=O)[O-])CC(=O)[O-])CC(=O)[O-],0.0
CC(C)(C(=O)c1cccnc1)c2cccnc2,0.0
CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)C(N)CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N6CCC[C@H]6C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N7CCC[C@H]7C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc8ccc(O)cc8)C(=O)N9CCC[C@H]9C(=O)O,0.0
CCC1(C(=O)NCNC1=O)c2ccccc2,0.0
NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]3CCC(=O)N3,0.0
Nc1c(CC(=O)O)cccc1C(=O)c2ccc(Br)cc2,1.0
Cc1nc(cn1c2ccc(cc2)N(=O)=O)N(=O)=O,1.0
OC[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,0.0
CC(=O)OCC[N+](C)(C)C,0.0
CN(C)CCC(c1ccc(Br)cc1)c2ccccn2,0.0
OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,1.0
C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,1.0
CC(C)c1c(C(=O)Nc2ccccc2)c(c3ccccc3)c(c4ccc(F)cc4)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,1.0
OC(=O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,1.0
Nc1ccc(cc1)S(=O)(=O)Nc2nccs2,1.0
NC1=NC(=O)c2nc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cnc2N1,0.0
CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCCN5C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H](N)CO)[C@@H](C)CC)[C@@H](C)O)C(C)C)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)N,0.0
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,0.0
CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)N(CCCCS(=O)(=O)[O-])c5ccc6ccccc6c15,0.0
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,0.0
Nc1nc(F)nc2c1ncn2[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]3O,0.0
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,0.0
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,1.0
CS(=O)(=O)OCCCCOS(=O)(=O)C,1.0
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,0.0
S=C1N=CNc2nc[nH]c12,1.0
C[C@H](N)C(=O)N[C@@H](C)C(=O)NC1[C@@H]2CN(C[C@H]12)c3nc4N(C=C(C(=O)O)C(=O)c4cc3F)c5ccc(F)cc5F,1.0
CN1C2CC(CC1C3OC23)OC(=O)C(CO)c4ccccc4,0.0
COc1ccc(cc1CN[C@H]2CCCN[C@H]2c3ccccc3)N(C)C,0.0
C[C@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CC=C(C)C,0.0
NC(=O)NS(=O)(=O)c1ccc(N)cc1,1.0
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@@H]([C@@H]4OC(=O)C)[N+]5(C)CCCCC5)[C@@]2(C)C[C@@H]1N6CCCCC6,0.0
Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3,0.0
CC(=O)N[C@@H](CS)C(=O)O,0.0
OCC1OC(CC1O)n2cnc3[C@H](O)CN=CNc23,1.0
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,1.0
CC(=O)Nc1nnc(s1)S(=O)(=O)N,1.0
CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OCC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,0.0
CC(=O)Oc1ccc(cc1)C(c2ccc(OC(=O)C)cc2)c3ccccn3,0.0
CC(C)(CO)C(O)C(=O)NCCCO,0.0
CCOC(=O)CN[C@H](C1CCCCC1)C(=O)N2CC[C@H]2C(=O)NCc3ccc(cc3)\C(=N\O)\N,1.0
CCCCCCCN(CC)CCCC(O)c1ccc(NS(=O)(=O)C)cc1,0.0
CC(C(=O)O)c1ccc2oc(nc2c1)c3ccc(Cl)cc3,1.0
NCCNCCNCCN,0.0
COc1ccc(OC)c(c1)C(O)CNC(=O)CN,0.0
CC1C(OCCN1C)c2ccccc2,0.0
CN(C)CCCC1c2ccccc2Nc3ccc(Cl)cc13,1.0
CN[C@@H]1CCc2[nH]c3ccc(cc3c2C1)C(=O)N,0.0
Cc1ccc(cc1)C(=O)c2cc(O)c(O)c(c2)N(=O)=O,1.0
CC12CCC3C(CCc4cc(OC(=O)N(CCCl)CCCl)ccc34)C1CCC2O,1.0
O=N(=O)OCC(CON(=O)=O)ON(=O)=O,0.0
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)N)NC1=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N,0.0
CC(O)CN1CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC1,0.0
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0.0
CC(C)(C(=O)O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,0.0
CCOC(=O)C1(CCN(C)CC1)c2ccccc2,0.0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1.0
Cc1ccnc2N(C3CC3)c4ncccc4C(=O)Nc12,1.0
Cn1c(CCCC(=O)O)nc2cc(ccc12)N(CCCl)CCCl,0.0
CC(C)NCC(O)c1ccc(O)c(O)c1,0.0
COc1cc(C)c(\C=C\C(=C\C=C\C(=C/C(=O)O)\C)\C)c(C)c1C,1.0
OC(=O)c1cccnc1,1.0
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]4C=C(CO)[C@H](O)[C@H](O)[C@H]4O,1.0
CN(C)CCOC(c1ccccc1)c2ccccc2,0.0
CC(O)C(O)C1CNC2=C(N1)C(=O)N=C(N)N2,0.0
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0.0
CCN(CC)CC(=O)Nc1c(C)cccc1C,0.0
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,1.0
O=C1CN(\N=C/c2oc(cc2)N(=O)=O)C(=O)N1,1.0
CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCCN5C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CO)[C@@H](C)CC)[C@@H](C)O)C(C)C)[C@@H](C)CC)C(=O)O,0.0
NCCc1ccc(O)c(O)c1,0.0
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc3cnc[nH]3)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)NCC(=O)N6CCC[C@H]6C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](C)C(=O)N7CCC[C@H]7C(=O)N8CCC[C@H]8C(=O)N9CCC[C@H]9C(=O)N[C@@H](CO)C(=O)N,0.0
Oc1ccc(cc1)C2CNCCc3c(Cl)c(O)c(O)cc23,0.0
CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)c2ccccc2,1.0
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0.0
C[NH+](C)CCOC(c1ccccc1)c2ccccc2,0.0
CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,0.0
COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,0.0
NCC1CCC(CC1)C(=O)O,0.0
CSCC[C@H](N)C(=O)O,0.0
N[C@@H](CCCN=C(N)N)C(=O)O,0.0
CC(C)COc1ccc(cc1C#N)c2nc(C)c(s2)C(=O)O,1.0
NC1=NC(=O)C2=C(NCC(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)N2C=O)N1,0.0
CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2,1.0
NC(=O)N1c2ccccc2C=Cc3ccccc13,1.0
CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,0.0
CNC(=O)c1cnn(c1)c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2,0.0
COc1ccc2c(cccc2c1C(F)(F)F)C(=S)N(C)CC(=O)O,1.0
Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)O)C(C)(C)CCC2(C)C,1.0
CSCC[C@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)[C@@H](N)CC(=O)O)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N,0.0
Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O,1.0
NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,0.0
NC1CSSCC(NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc3ccc(O)cc3)NC1=O)C(=O)N4CCCC4C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,0.0
C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)OC[C@]4(C)[C@H]3CC[C@]12C,1.0
CNC(=O)c1c(I)c(NC(=O)C)c(I)c(C(=O)O)c1I,0.0
CC(N)COc1c(C)cccc1C,1.0
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,1.0
CN1CC(c2ccccc2)c3cccc(N)c3C1,1.0
O=C1N=CN=C2NNC=C12,1.0
C[C@@H](NCCCc1cccc(c1)C(F)(F)F)c2cccc3ccccc23,0.0
CN(C)CCOC(C)(c1ccccc1)c2ccccn2,0.0
C[N+]1(CC2CC2)CC[C@]34[C@H]5Oc6c(O)ccc(C[C@@H]1[C@]3(O)CCC5=O)c46,0.0
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,1.0
OCCN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.0
OCC(O)C(O)C(O)C(O)CO,0.0
