smiles,pgp
COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O)n3cnc4c(ncnc34)N(C)C)cc1,1.0
COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3ccccc3,0.0
Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,0.0
CC(C)NCC(O)COc1cccc2ccccc12,0.0
CN(C)CC\C=C\1/c2ccccc2COc3ccccc13,0.0
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34,1.0
COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,0.0
Nc1nc(N)c2nc(c(N)nc2n1)c3ccccc3,0.0
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3,0.0
CCC(=O)NCC[C@@H]1CCc2ccc3OCCc3c12,0.0
OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,1.0
C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,1.0
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1,0.0
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13,1.0
CN(C)CCC=C1c2ccccc2CCc3ccccc13,0.0
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,1.0
Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3,1.0
Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1,0.0
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)N[C@@H]4[C@H](O)Cc5ccccc45,1.0
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,0.0
CCC(C)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(OCC5COC(Cn6cncn6)(O5)c7ccc(Cl)cc7Cl)cc4,0.0
COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24,0.0
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,0.0
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@@H]12,0.0
CCOC(=O)CN[C@H](C1CCCCC1)C(=O)N2CC[C@H]2C(=O)NCc3ccc(cc3)\C(=N\O)\N,1.0
COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4,1.0
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1,1.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1.0
OC(=O)c1cc(ccc1O)N=Nc2ccc(cc2)S(=O)(=O)Nc3ccccn3,0.0
COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,0.0
CCN1CCCC1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N,0.0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,1.0
CN(C)CCOC(c1ccccc1)c2ccccc2,0.0
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4)O[C@@H]3C)O[C@@H]2C,1.0
CCN(CC)CC(=O)Nc1c(C)cccc1C,0.0
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,1.0
COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26,1.0
CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,1.0
CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,1.0
NC(=O)N1c2ccccc2C=Cc3ccccc13,0.0
Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45,1.0
CCOc1ccc(cc1)c2nc3ccc(cc3[nH]2)c4nc5ccc(cc5[nH]4)N6CCN(C)CC6,1.0
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,1.0
CC(N)COc1c(C)cccc1C,0.0
CC(CN(C)C)CN1c2ccccc2CCc3ccccc13,0.0
CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,1.0
COCCCC\C(=N/OCCN)\c1ccc(cc1)C(F)(F)F,0.0
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,1.0
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=C)CC[C@@]36O,0.0
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,1.0
CC[C@]1(CC[C@@H](O1)[C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@H](O3)[C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O2)[C@@H]4O[C@H](C[C@@H]4C)[C@H]5O[C@@](O)(CO)[C@H](C)C[C@@H]5C,1.0
CCN1C=C(C(=O)O)C(=O)c2cc(F)c(nc12)N3CCNCC3,0.0
CC(C)N(CC[C@H](c1ccccc1)c2cc(C)ccc2O)C(C)C,0.0
C1NC[C@H]2C[C@@H]1c3cc4nccnc4cc23,0.0
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,0.0
CCN(C(=O)C)c1cccc(c1)c2ccnc3c(cnn23)C#N,0.0
CNC1(CCCCC1=O)c2ccccc2Cl,0.0
O=C(O[C@H]1CN2CCC1CC2)N3CCc4ccccc4[C@@H]3c5ccccc5,0.0
Cc1c(O)cccc1C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,1.0
CN\C(=C\[N+](=O)[O-])\NCCSCc1oc(CN(C)C)cc1,1.0
CNCC[C@@H](Oc1ccccc1C)c2ccccc2,1.0
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,1.0
CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,0.0
[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1,0.0
Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5,1.0
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,1.0
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,0.0
CCCN(CCC)CCc1cccc2NC(=O)Cc12,0.0
NS(=O)(=O)Cc1noc2ccccc12,0.0
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,1.0
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2,0.0
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24,1.0
COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC,0.0
COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C,0.0
OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,0.0
O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4,0.0
CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(=O)N,1.0
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4,1.0
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,0.0
Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,0.0
CC(C)N(CC[C@H](c1ccccc1)c2cc(CO)ccc2O)C(C)C,1.0
OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24,0.0
CCCN1CCCC[C@H]1C(=O)Nc2c(C)cccc2C,0.0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,1.0
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,1.0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@@H]12,1.0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.0
CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2,0.0
CN(C)CCC=C1c2ccccc2C=Cc3ccccc13,0.0
CC(C)CC1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)OCOC1=O,1.0
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCC(O)C5=N1,1.0
CC(C)NCC(O)COc1ccc(NC(=O)C)cc1,0.0
CN1CCC[C@@H]1Cc2c[nH]c3ccc(CCS(=O)(=O)c4ccccc4)cc23,1.0
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.0
CNCCC=C1c2ccccc2CCc3ccccc13,0.0
CCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC)C,0.0
CC(C)[C@H]1NC(=O)[C@@H](NC(=O)C2=C(N)C(=O)C(=C3Oc4c(C)ccc(C(=O)N[C@H]5[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]6CCCN6C(=O)[C@H](NC5=O)C(C)C)c4N=C23)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]7CCCN7C1=O,1.0
CN1[C@@H]2C[C@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)[C@H](CO)c4ccccc4,0.0
CN1C(=O)N(C)c2ncn(C)c2C1=O,0.0
Clc1cccc(c1)N2CCN(CCCN3N=C4C=CC=CN4C3=O)CC2,0.0
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,1.0
CCN(C)C(=O)Oc1cccc(c1)[C@H](C)N(C)C,0.0
CCC1=C[C@@H]2CN(C1)Cc3c([nH]c4ccccc34)[C@@H]([C@H]2c5cc6c(cc5OC)N(C)C7[C@](O)([C@H](OC(=O)C)C8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C(=O)OC,1.0
CC(C)CC1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)\C=C/c4ccccc4OC1=O,1.0
Cc1ccsc1C(=CCCN2CCC[C@H](C2)C(=O)O)c3sccc3C,0.0
CN(C)C(=O)Oc1ccc[n+](C)c1,0.0
CCOC(=O)c1ncn2c1CN(C)C(=O)c3cc(F)ccc23,0.0
COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C,0.0
COc1ccc2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5Oc1c2[C@]45CCN3C,0.0
C[C@H](Cc1ccccc1)N(C)CC#C,0.0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,1.0
CC(=O)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,0.0
CNCCCN1c2ccccc2CCc3ccccc13,0.0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1,0.0
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0.0
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35,0.0
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,1.0
CCCC(C)(COC(=O)N)COC(=O)N,0.0
Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,0.0
CC1(C)O[C@@H]2CO[C@@]3(COS(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1,0.0
Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,0.0
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C,1.0
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,1.0
CCN1CCCC1CNC(=O)c2cc(c(N)cc2OC)S(=O)(=O)CC,1.0
COC(=O)C(C1CCCCN1)c2ccccc2,0.0
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)c3c[nH]c4ccccc34,0.0
COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,1.0
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,0.0
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,1.0
CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1,1.0
NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5,1.0
CC(CN1c2ccccc2Sc3ccccc13)N(C)C,0.0
CCC1(C)CC(=O)NC1=O,0.0
CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c3ccccc3,0.0
COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC(C)C)C,0.0
CNCCCC12CCC(c3ccccc13)c4ccccc24,0.0
COCCc1ccc(OCC(O)CNC(C)C)cc1,0.0
CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2,0.0
NC(=O)N1c2ccccc2CC(=O)c3ccccc13,0.0
Clc1cccc(Cl)c1NC2=NCCN2,0.0
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14,1.0
CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,1.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3,0.0
CC(C)NCC(O)COc1ccccc1CC=C,0.0
[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1,0.0
CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(=O)C,1.0
NC12CC3CC(CC(C3)C1)C2,0.0
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,1.0
Clc1ccc2C(=C3CCNCC3)c4ncccc4CCc2c1,1.0
O[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CCC6)c45,0.0
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,0.0
OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,0.0
Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1,1.0
COC(=O)c1ccccc1C2=C3C=CC(=[NH2+])C=C3Oc4cc(N)ccc24,1.0
CN1N(C(=O)C=C1C)c2ccccc2,0.0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,0.0
CN\C(=N/CCSCc1[nH]cnc1C)\NC#N,1.0
CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,0.0
Nc1c2CCCCc2nc3ccccc13,0.0
CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.0
CN(C)CCCN1c2ccccc2Sc3ccccc13,0.0
OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO,1.0
Nc1nc2ccc(OC(F)(F)F)cc2s1,0.0
CC(C)CC1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)\C=C/c4ccccc4OCOC1=O,1.0
CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc3cncs3)Cc4ccccc4,1.0
CN1CCN2C(C1)c3ccccc3Cc4cccnc24,0.0
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,1.0
CCOc1ccccc1O[C@@H]([C@H]2CNCCO2)c3ccccc3,0.0
CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,0.0
OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4,0.0
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,1.0
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@@H]12,1.0
OC(C(=O)OC1CC2CCC(C1)[N+]23CCCC3)(c4ccccc4)c5ccccc5,1.0
OCCOCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3,0.0
CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)COc3c(C)cccc3C)Cc4ccccc4,1.0
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36O,0.0
OC(=O)COCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3,1.0
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)C,1.0
CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3,0.0
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]4NCCc5cc(OC)c(OC)cc45,1.0
CC(C)NCC(O)COc1ccccc1OCC=C,0.0
CN(C)CCCN1c2ccccc2CCc3ccccc13,0.0
CC(C)c1nc(nc(c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)N(C)S(=O)(=O)C,0.0
CN(C)C(=O)Cc1c(nc2ccc(C)cn12)c3ccc(C)cc3,0.0
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)c3ccc(N)cc3,1.0
